ZIP,YEAR,COMMAREANO
60606,13.36,28
60607,13.36,28
60661,13.36,24
60601,15.43,32
60602,15.43,32
60603,15.43,32
60604,15.43,32
60605,15.43,32
60611,15.43,8
60608,20.23,28
60609,22.27,34
60610,15.89,7
60654,15.89,8
60612,24.05,23
60613,10.91,3
60614,9.99,5
60615,25.8,38
60616,21.51,28
60617,28.19,45
60618,13.88,4
60619,33.07,43
60620,33.29,44
60621,31.94,40
60642,11.51,7
60622,11.51,22
60623,24.45,29
60624,30.48,23
60625,14.62,4
60626,17.41,1
60628,32.76,49
60629,21.54,56
60630,18.68,10
60631,19.32,9
60632,17.99,30
60634,20.99,15
60636,32.52,63
60637,28.1,40
60638,24.04,56
60639,20.58,19
60640,16.77,3
60641,18.14,14
60643,29.49,53
60644,32.6,25
60645,19.46,1
60646,19.3,10
60647,13.12,7
60649,30.57,42
60651,28.58,23
60652,25.16,65
60653,28.31,35
60655,19.09,72
60656,21.08,10
60657,8.99,5
60659,20.46,2
60660,17.27,1
60666,8.82,76
60707,22.96,17
60827,32.26,53
60633,32.26,50